t,in_mass_flow,out_mass_flow
0.05,0.000575958653158075,0
0.1,0.00037699111843074,0
0.15,0.00050265482457432,0
0.2,0.00027227136331109,0
0.25,0.00029321531433502,0
0.3,2.094395102393e-05,0
0.35,4.188790204786e-05,0
0.4,6.28318530717901e-05,0
0.45,5.2359877559825e-05,0
0.5,0,0
0.55,3.1415926535895e-05,0
0.6,5.2359877559825e-05,0
0.65,4.188790204786e-05,0
0.7,0.000240855436775195,0
0.75,0.00010471975511965,0
0.8,0,0
0.85,4.188790204786e-05,0
0.9,1.0471975511965e-05,0
0.95,2.094395102393e-05,0
1,4.188790204786e-05,0
1.05,0,0
1.1,1.0471975511965e-05,0
1.15,5.2359877559825e-05,0
1.2,0.00025132741228716,0
1.25,0.00023038346126323,0
1.3,0.000115191730631615,0
1.35,3.1415926535895e-05,0
1.4,4.188790204786e-05,0
1.45,7.33038285837551e-05,0
1.5,5.2359877559825e-05,0
1.55,7.33038285837551e-05,0
1.6,5.2359877559825e-05,0
1.65,3.1415926535895e-05,0
1.7,9.42477796076851e-05,0
1.75,0.00014660765716751,0
1.8,5.2359877559825e-05,0
1.85,0.000136135681655545,0
1.9,7.33038285837551e-05,0
1.95,3.1415926535895e-05,0
2,0,0
2.05,1.0471975511965e-05,0
2.1,2.094395102393e-05,0
2.15,4.188790204786e-05,0
2.2,5.2359877559825e-05,0
2.25,3.1415926535895e-05,0
2.3,3.1415926535895e-05,0
2.35,2.094395102393e-05,0
2.4,4.188790204786e-05,0
2.45,0,0
2.5,2.094395102393e-05,0
2.55,3.1415926535895e-05,0
2.6,2.094395102393e-05,0
2.65,3.1415926535895e-05,0
2.7,2.094395102393e-05,0
2.75,5.2359877559825e-05,0
2.8,8.37758040957201e-05,0
2.85,6.2831853071789e-05,0
2.9,4.18879020478579e-05,0
2.95,4.18879020478579e-05,0
3,1.04719755119645e-05,0
3.05,2.09439510239289e-05,0
3.1,2.09439510239289e-05,0
3.15,8.37758040957157e-05,0
3.2,8.37758040957157e-05,0
3.25,4.18879020478579e-05,0
3.3,2.09439510239289e-05,0
3.35,5.23598775598223e-05,0
3.4,4.18879020478579e-05,0
3.45,3.14159265358934e-05,0
3.5,6.28318530717868e-05,0
3.55,7.33038285837513e-05,0
3.6,4.18879020478579e-05,0
3.65,1.04719755119645e-05,0
3.7,2.09439510239289e-05,0
3.75,2.09439510239289e-05,0
3.8,3.14159265358934e-05,0
3.85,2.09439510239289e-05,0
3.9,2.09439510239289e-05,0
3.95,1.04719755119645e-05,0
4,0,0
4.05,2.09439510239289e-05,0
4.1,2.09439510239289e-05,0
4.15,1.04719755119645e-05,0
4.2,2.09439510239289e-05,0
4.25,2.09439510239289e-05,0
4.3,2.09439510239289e-05,0
4.35,4.18879020478579e-05,0
4.4,4.18879020478579e-05,0
