t,in_mass_flow,out_mass_flow
0.005,0,0
0.01,0,0
0.015,0,0
0.02,0,0
0.025,0,0
0.03,0,0
0.035,0,0
0.04,0,0
0.045,0,0
0.05,0,0
0.055,2.93215314335027e-05,0
0.06,2.93215314335027e-05,0
0.065,2.93215314335027e-05,0
0.07,5.86430628670055e-05,0
0.075,2.93215314335027e-05,0
0.08,2.93215314335027e-05,0
0.085,2.93215314335028e-05,0
0.09,5.86430628670055e-05,0
0.095,0,0
0.1,2.93215314335028e-05,0
0.105,0,0
0.11,5.86430628670055e-05,0
0.115,2.93215314335028e-05,0
0.12,0,0
0.125,2.93215314335028e-05,0
0.13,2.93215314335028e-05,0
0.135,0,0
0.14,0,0
0.145,0,0
0.15,2.93215314335028e-05,0
0.155,0,0
0.16,0,0
0.165,8.79645943005083e-05,0
0.17,0,0
0.175,0,0
0.18,5.86430628670055e-05,0
0.185,5.86430628670055e-05,0
0.19,0,0
0.195,2.93215314335028e-05,0
0.2,0,0
0.205,5.86430628670054e-05,0
0.21,5.86430628670054e-05,0
0.215,0,0
0.22,5.86430628670054e-05,0
0.225,0,0
0.23,0,0
0.235,5.86430628670054e-05,0
0.24,0,0
0.245,0,0
0.25,2.93215314335027e-05,0
0.255,2.93215314335027e-05,0
0.26,2.93215314335027e-05,0
0.265,0,0
0.27,2.93215314335027e-05,0
0.275,2.93215314335027e-05,0
0.28,2.93215314335027e-05,0
0.285,0,0
0.29,0,0
0.295,5.86430628670054e-05,0
0.3,0,0
0.305,5.86430628670054e-05,0
0.31,0,0
0.315,2.93215314335027e-05,0
0.32,2.93215314335027e-05,0
0.325,5.86430628670054e-05,0
0.33,0,0
0.335,2.93215314335027e-05,0
0.34,2.93215314335027e-05,0
0.345,2.93215314335027e-05,0
0.35,0,0
0.355,2.93215314335027e-05,0
0.36,2.93215314335027e-05,0
0.365,2.93215314335029e-05,0
0.37,5.86430628670057e-05,0
0.375,0,0
0.38,0,0
0.385,0,0
0.39,0,0
0.395,0,0
0.4,2.93215314335029e-05,0
0.405,2.93215314335029e-05,0
0.41,2.93215314335029e-05,0
0.415,2.93215314335029e-05,0
0.42,2.93215314335029e-05,0
0.425,8.79645943005086e-05,0
0.43,5.86430628670057e-05,0
0.435,2.93215314335029e-05,0
0.44,5.86430628670057e-05,0
0.445,0,0
0.45,2.93215314335029e-05,0
0.455,5.86430628670057e-05,0
0.46,0,0
0.465,2.93215314335029e-05,0
0.47,5.86430628670057e-05,0
0.475,0,0
0.48,0,0
0.485,2.93215314335029e-05,0
