t,in_mass_flow,out_mass_flow
59.005,0,0
59.01,0,0
59.015,0,0
59.02,0,0
59.025,0,0
59.03,0,0
59.035,0,0
59.04,0,0
59.045,0,0
59.05,0,0
59.055,0,0
59.06,0,0
59.065,0,0
59.07,0,0
59.075,0,0
59.08,0,0
59.085,0,0
59.09,0,0
59.095,0,0
59.1,0,0
59.105,0,0
59.11,0,0
59.115,0,0
59.12,0,0
59.125,0,0
59.13,0,0
59.135,0,0
59.14,0,0
59.145,0,0
59.15,0,0
59.155,0,0
59.16,0,0
59.165,0,0
59.17,0,0
59.175,0,0
59.18,0,0
59.185,0,0
59.19,0,0
59.195,0,0
59.2,0,0
59.205,0,0
59.21,0,0
59.215,0,0
59.22,0,0
59.225,0,0
59.23,0,0
59.235,0,0
59.24,0,0
59.245,0,0
59.25,0,0
59.255,0,0
59.26,0,0
59.265,0,0
59.27,0,0
59.275,0,0
59.28,0,0
59.285,0,0
59.29,0,0
59.295,0,0
59.3,0,0
59.305,0,0
59.31,0,0
59.315,0,0
59.32,0,0
59.325,0,0
59.33,0,0
59.335,0,0
59.34,0,0
59.345,0,0
59.35,0,0
59.355,0,0
59.36,0,0
59.365,0,0
59.37,0,0
59.375,0,0
59.38,0,0
59.385,0,0
59.39,0,0
59.395,0,0
59.4,0,0
59.405,0,0
59.41,0,0
59.415,0,0
59.42,0,0
59.425,0,0
59.43,0,0
59.435,0,0
59.44,0,0
59.445,0,0
59.45,0,0
59.455,0,0
59.46,0,0
59.465,0,0
59.47,0,0
59.475,0,0
59.48,0,0
59.485,0,0
59.49,0,0
59.495,0,0
59.5,0,0
59.505,0,0
59.51,0,0
59.515,0,0
59.52,0,0
59.525,0,0
59.53,0,0
59.535,0,0
59.54,0,0
59.545,0,0
59.55,0,0
59.555,0,0
59.56,0,0
59.565,0,0
59.57,0,0
59.575,0,0
59.58,0,0
59.585,0,0
59.59,0,0
59.595,0,0
59.6,0,0
59.605,0,0
59.61,0,0
59.615,0,0
59.62,0,0
59.625,0,0
59.63,0,0
59.635,0,0
59.64,0,0
59.645,0,0
59.65,0,0
59.655,0,0
59.66,0,0
59.665,0,0
59.67,0,0
59.675,0,0
59.68,0,0
59.685,0,0
59.69,0,0
59.695,0,0
59.7,0,0
59.705,0,0
59.71,0,0
59.715,0,0
59.72,0,0
59.725,0,0
59.73,0,0
59.735,0,0
59.74,0,0
59.745,0,0
59.75,0,0
59.755,0,0
59.76,0,0
59.765,0,0
59.77,0,0
59.775,0,0
59.78,0,0
59.785,0,0
59.79,0,0
59.795,0,0
59.8,0,0
59.805,0,0
59.81,0,0
59.815,0,0
59.82,0,0
59.825,0,0
59.83,0,0
59.835,0,0
59.84,0,0
59.845,0,0
59.85,0,0
59.855,0,0
59.86,0,0
59.865,0,0
59.87,0,0
59.875,0,0
59.88,0,0
59.885,0,0
59.89,0,0
59.895,0,0
59.9,0,0
59.905,0,0
59.91,0,0
59.915,0,0
59.92,0,0
59.925,0,0
59.93,0,0
59.935,0,0
59.94,0,0
59.945,0,0
59.95,0,0
59.955,0,0
59.96,0,0
59.965,0,0
59.97,0,0
59.975,0,0
59.98,0,0
59.985,0,0
59.99,0,0
59.995,0,0
60,0,0
60.005,0,0
60.01,0,0
60.015,0,0
60.02,0,0
60.025,0,0
60.03,0,0
60.035,0,0
60.04,0,0
60.045,0,0
60.05,0,0
60.055,0,0
60.06,0,0
60.065,0,0
