t,in_mass_flow,out_mass_flow
0.005,2.93215314335027e-08,0
0.01,0,0
0.015,0,0
0.02,2.93215314335027e-08,0
0.025,2.93215314335027e-08,0
0.03,5.86430628670055e-08,0
0.035,0,0
0.04,5.86430628670055e-08,0
0.045,0,0
0.05,2.93215314335027e-08,0
0.055,5.86430628670055e-08,0
0.06,0,0
0.065,2.93215314335027e-08,0
0.07,0,0
0.075,2.93215314335027e-08,0
0.08,0,0
0.085,2.93215314335027e-08,0
0.09,0,0
0.095,2.93215314335027e-08,0
0.1,2.93215314335027e-08,0
0.105,2.93215314335027e-08,0
0.11,2.93215314335027e-08,0
0.115,0,0
0.12,5.86430628670055e-08,0
0.125,2.93215314335027e-08,0
0.13,2.93215314335027e-08,0
0.135,5.86430628670055e-08,0
0.14,2.93215314335027e-08,0
0.145,0,0
0.15,0,0
0.155,2.93215314335027e-08,0
0.16,2.93215314335027e-08,0
0.165,2.93215314335027e-08,0
0.17,0,0
0.175,0,0
0.18,2.93215314335027e-08,0
0.185,2.93215314335027e-08,0
0.19,2.93215314335027e-08,0
0.195,5.86430628670055e-08,0
0.2,5.86430628670055e-08,0
0.205,0,0
0.21,5.86430628670055e-08,0
0.215,0,0
0.22,0,0
0.225,5.86430628670055e-08,0
0.23,0,0
0.235,0,0
0.24,0,0
0.245,0,0
0.25,2.93215314335027e-08,0
0.255,0,0
0.26,0,0
0.265,2.93215314335027e-08,0
0.27,2.93215314335027e-08,0
0.275,5.86430628670055e-08,0
0.28,5.86430628670055e-08,0
0.285,2.93215314335027e-08,0
0.29,0,0
0.295,0,0
0.3,0,0
0.305,2.93215314335027e-08,0
0.31,2.93215314335027e-08,0
0.315,0,0
0.32,5.86430628670055e-08,0
0.325,0,0
0.33,5.86430628670056e-08,0
0.335,5.86430628670058e-08,0
0.34,0,0
0.345,2.93215314335029e-08,0
0.35,0,0
0.355,0,0
0.36,2.93215314335029e-08,0
0.365,0,0
0.37,5.86430628670058e-08,0
0.375,2.93215314335029e-08,0
0.38,2.93215314335029e-08,0
0.385,2.93215314335029e-08,0
0.39,0,0
0.395,2.93215314335029e-08,0
0.4,0,0
0.405,2.93215314335029e-08,0
0.41,0,0
0.415,2.93215314335029e-08,0
0.42,0,0
0.425,5.86430628670058e-08,0
0.43,2.93215314335029e-08,0
0.435,5.86430628670058e-08,0
0.44,0,0
0.445,2.93215314335029e-08,0
0.45,0,0
0.455,2.93215314335029e-08,0
0.46,0,0
0.465,0,0
0.47,2.93215314335029e-08,0
0.475,0,0
0.48,2.93215314335029e-08,0
0.485,0,0
0.49,2.93215314335029e-08,0
0.495,0,0
0.5,2.93215314335029e-08,0
0.505,0,0
0.51,2.93215314335029e-08,0
0.515,2.93215314335029e-08,0
0.52,2.93215314335029e-08,0
0.525,5.86430628670058e-08,0
0.53,0,0
0.535,5.86430628670058e-08,0
0.54,5.86430628670058e-08,0
0.545,0,0
0.55,2.93215314335029e-08,0
0.555,2.93215314335029e-08,0
0.56,5.86430628670058e-08,0
0.565,0,0
0.57,0,0
0.575,0,0
0.58,0,0
