t,in_mass_flow,out_mass_flow
0.025,0.00048171087355039,0
0.05,0.000670206432765761,0
0.075,0.00025132741228716,0
0.1,0.00050265482457432,0
0.125,0.0004188790204786,0
0.15,0.00058643062867004,0
0.175,0.00027227136331109,0
0.2,0.00031415926535895,0
0.225,0.00025132741228716,0
0.25,0.00052359877559825,0
0.275,0.00014660765716751,0
0.3,0.00012566370614358,0
0.325,8.37758040957201e-05,0
0.35,6.28318530717901e-05,0
0.375,0.00012566370614358,0
0.4,6.28318530717901e-05,0
0.425,6.28318530717895e-05,0
0.45,2.094395102393e-05,0
0.475,2.094395102393e-05,0
0.5,0,0
0.525,0,0
0.55,0,0
0.575,2.094395102393e-05,0
0.6,4.188790204786e-05,0
0.625,6.28318530717901e-05,0
0.65,6.28318530717901e-05,0
0.675,6.28318530717901e-05,0
0.7,0.00010471975511965,0
0.725,0.00010471975511965,0
0.75,8.37758040957201e-05,0
0.775,6.28318530717901e-05,0
0.8,4.188790204786e-05,0
0.825,0.00014660765716751,0
0.85,0,0
0.875,0.00010471975511965,0
0.9,2.094395102393e-05,0
0.925,0.00016755160819144,0
0.95,6.28318530717901e-05,0
0.975,0.00014660765716751,0
1,2.094395102393e-05,0
1.025,0,0
1.05,2.094395102393e-05,0
1.075,0,0
1.1,0,0
1.125,2.094395102393e-05,0
1.15,0,0
1.175,4.188790204786e-05,0
1.2,2.094395102393e-05,0
1.225,0,0
1.25,0.00012566370614358,0
1.275,0.00010471975511965,0
1.3,0.00010471975511965,0
1.325,4.188790204786e-05,0
1.35,2.094395102393e-05,0
