t,in_mass_flow,out_mass_flow
35.005,0,0
35.01,0,0
35.015,0,0
35.02,0,0
35.025,0,0
35.03,0,0
35.035,0,0
35.04,0,0
35.045,0,0
35.05,0,0
35.055,0,0
35.06,0,0
35.065,0,0
35.07,0,0
35.075,0,0
35.08,0,0
35.085,0,0
35.09,0,0
35.095,0,0
35.1,0,0
35.105,0,0
35.11,0,0
35.115,0,0
35.12,0,0
35.125,0,0
35.13,0,0
35.135,0,0
35.14,0,0
35.145,0,0
35.15,0,0
35.155,0,0
35.16,0,0
35.165,0,0
35.17,0,0
35.175,0,0
35.18,0,0
35.185,0,0
35.19,0,0
35.195,0,0
35.2,0,0
35.205,0,0
35.21,0,0
35.215,0,0
35.22,0,0
35.225,0,0
35.23,0,0
35.235,0,0
35.24,0,0
35.245,0,0
35.25,0,0
35.255,0,0
35.26,0,0
35.265,0,0
35.27,0,0
35.275,0,0
35.28,0,0
35.285,0,0
35.29,0,0
35.295,0,0
35.3,0,0
35.305,0,0
35.31,0,0
35.315,0,0
35.32,0,0
35.325,0,0
35.33,0,0
35.335,0,0
35.34,0,0
35.345,0,0
35.35,0,0
35.355,0,0
35.36,0,0
35.365,0,0
35.37,0,0
35.375,0,0
35.38,0,0
35.385,0,0
35.39,0,0
35.395,0,0
35.4,0,0
35.405,0,0
35.41,0,0
35.415,0,0
35.42,0,0
35.425,0,0
35.43,0,0
35.435,0,0
35.44,0,0
35.445,0,0
35.45,0,0
35.455,0,0
35.46,0,0
35.465,0,0
35.47,0,0
35.475,0,0
35.48,0,0
35.485,0,0
35.49,0,0
35.495,0,0
35.5,0,0
35.505,0,0
35.51,0,0
35.515,0,0
35.52,0,0
35.525,0,0
35.53,0,0
35.535,0,0
35.54,0,0
35.545,0,0
35.55,0,0
35.555,0,0
35.56,0,0
35.565,0,0
35.57,0,0
35.575,0,0
35.58,0,0
35.585,0,0
35.59,0,0
35.595,0,0
35.6,0,0
35.605,0,0
35.61,0,0
35.615,0,0
35.62,0,0
35.625,0,0
35.63,0,0
35.635,0,0
35.64,0,0
35.645,0,0
35.65,0,0
35.655,0,0
35.66,0,0
35.665,0,0
35.67,0,0
35.675,0,0
35.68,0,0
35.685,0,0
35.69,0,0
35.695,0,0
35.7,0,0
35.705,0,0
35.71,0,0
35.715,0,0
35.72,0,0
35.725,0,0
35.73,0,0
35.735,0,0
35.74,0,0
35.745,0,0
35.75,0,0
35.755,0,0
35.76,0,0
35.765,0,0
35.77,0,0
35.775,0,0
35.78,0,0
35.785,0,0
35.79,0,0
35.795,0,0
35.8,0,0
35.805,0,0
35.81,0,0
35.815,0,0
35.82,0,0
35.825,0,0
35.83,0,0
35.835,0,0
35.84,0,0
35.845,0,0
35.85,0,0
35.855,0,0
35.86,0,0
35.865,0,0
35.87,0,0
35.875,0,0
35.88,0,0
35.885,0,0
35.89,0,0
35.895,0,0
35.9,0,0
35.905,0,0
35.91,0,0
35.915,0,0
35.92,0,0
35.925,0,0
35.93,0,0
35.935,0,0
35.94,0,0
35.945,0,0
35.95,0,0
35.955,0,0
35.96,0,0
35.965,0,0
35.97,0,0
35.975,0,0
35.98,0,0
35.985,0,0
35.99,0,0
35.995,0,0
36,0,0
36.005,0,0
36.01,0,0
36.015,0,0
36.02,0,0
36.025,0,0
36.03,0,0
36.035,0,0
36.04,0,0
36.045,0,0
36.05,0,0
36.055,0,0
36.06,0,0
36.065,0,0
36.07,0,0
36.075,0,0
36.08,0,0
36.085,0,0
36.09,0,0
36.095,0,0
36.1,0,0
36.105,0,0
36.11,0,0
36.115,0,0
