t,in_mass_flow,out_mass_flow
0.005,0,0
0.01,0,0
0.015,0,0
0.02,2.93215314335027e-05,0
0.025,0,0
0.03,0,0
0.035,2.93215314335027e-05,0
0.04,2.93215314335027e-05,0
0.045,0,0
0.05,0,0
0.055,5.86430628670055e-05,0
0.06,0,0
0.065,2.93215314335027e-05,0
0.07,5.86430628670055e-05,0
0.075,0,0
0.08,0,0
0.085,0,0
0.09,2.93215314335028e-05,0
0.095,0,0
0.1,0,0
0.105,0,0
0.11,2.93215314335028e-05,0
0.115,0,0
0.12,2.93215314335028e-05,0
0.125,2.93215314335028e-05,0
0.13,0,0
0.135,5.86430628670055e-05,0
0.14,2.93215314335028e-05,0
0.145,0,0
0.15,5.86430628670055e-05,0
0.155,2.93215314335028e-05,0
0.16,0,0
0.165,0,0
0.17,2.93215314335028e-05,0
0.175,2.93215314335028e-05,0
0.18,0,0
0.185,0,0
0.19,0,0
0.195,2.93215314335028e-05,0
0.2,0,0
0.205,0,0
0.21,2.93215314335028e-05,0
0.215,2.93215314335028e-05,0
0.22,0,0
0.225,5.86430628670055e-05,0
0.23,0,0
0.235,0,0
0.24,2.93215314335028e-05,0
0.245,0,0
0.25,0,0
0.255,0,0
0.26,0,0
0.265,2.93215314335027e-05,0
0.27,0,0
0.275,0,0
0.28,2.93215314335027e-05,0
0.285,2.93215314335027e-05,0
0.29,5.86430628670054e-05,0
0.295,0,0
0.3,0,0
0.305,0,0
0.31,0,0
0.315,0,0
0.32,2.93215314335027e-05,0
0.325,2.93215314335027e-05,0
0.33,0,0
0.335,2.93215314335027e-05,0
0.34,0,0
0.345,5.86430628670054e-05,0
0.35,0,0
0.355,0,0
0.36,2.93215314335027e-05,0
0.365,0,0
0.37,0,0
0.375,2.93215314335027e-05,0
0.38,0,0
0.385,2.93215314335027e-05,0
0.39,2.93215314335027e-05,0
0.395,2.93215314335027e-05,0
0.4,2.93215314335027e-05,0
0.405,0,0
0.41,2.93215314335027e-05,0
0.415,0,0
0.42,2.93215314335027e-05,0
0.425,0,0
0.43,0,0
0.435,0,0
0.44,2.93215314335027e-05,0
0.445,2.93215314335027e-05,0
0.45,2.93215314335027e-05,0
0.455,0,0
0.46,0,0
0.465,0,0
0.47,2.93215314335027e-05,0
0.475,0,0
0.48,0,0
0.485,0,0
0.49,0,0
0.495,2.93215314335027e-05,0
0.5,0,0
0.505,2.93215314335027e-05,0
0.51,0,0
0.515,0,0
0.52,0,0
0.525,0,0
0.53,0,0
0.535,2.93215314335027e-05,0
0.54,0,0
0.545,5.86430628670055e-05,0
0.55,8.79645943005086e-05,0
0.555,5.86430628670057e-05,0
0.56,0,0
0.565,0,0
0.57,2.93215314335029e-05,0
0.575,0,0
0.58,0,0
0.585,2.93215314335029e-05,0
0.59,0,0
0.595,0,0
0.6,2.93215314335029e-05,0
0.605,0,0
0.61,0,0
0.615,2.93215314335029e-05,0
0.62,0,0
0.625,0,0
0.63,0,0
0.635,2.93215314335029e-05,0
0.64,0,0
0.645,2.93215314335029e-05,0
0.65,0,0
0.655,0,0
0.66,2.93215314335029e-05,0
0.665,0,0
0.67,0,0
