t,in_mass_flow,out_mass_flow
40.005,0,0
40.01,0,0
40.015,0,0
40.02,0,0
40.025,0,0
40.03,0,0
40.035,0,0
40.04,0,0
40.045,0,0
40.05,0,0
40.055,0,0
40.06,0,0
40.065,0,0
40.07,0,0
40.075,0,0
40.08,0,0
40.085,0,0
40.09,0,0
40.095,0,0
40.1,0,0
40.105,0,0
40.11,0,0
40.115,0,0
40.12,0,0
40.125,0,0
40.13,0,0
40.135,0,0
40.14,0,0
40.145,0,0
40.15,0,0
40.155,0,0
40.16,0,0
40.165,0,0
40.17,0,0
40.175,0,0
40.18,0,0
40.185,0,0
40.19,0,0
40.195,0,0
40.2,0,0
40.205,0,0
40.21,0,0
40.215,0,0
40.22,0,0
40.225,0,0
40.23,0,0
40.235,0,0
40.24,0,0
40.245,0,0
40.25,0,0
40.255,0,0
40.26,0,0
40.265,0,0
40.27,0,0
40.275,0,0
40.28,0,0
40.285,0,0
40.29,0,0
40.295,0,0
40.3,0,0
40.305,0,0
40.31,0,0
40.315,0,0
40.32,0,0
40.325,0,0
40.33,0,0
40.335,0,0
40.34,0,0
40.345,0,0
40.35,0,0
40.355,0,0
40.36,0,0
40.365,0,0
40.37,0,0
40.375,0,0
40.38,0,0
40.385,0,0
40.39,0,0
40.395,0,0
40.4,0,0
40.405,0,0
40.41,0,0
40.415,0,0
40.42,0,0
40.425,0,0
40.43,0,0
40.435,0,0
40.44,0,0
40.445,0,0
40.45,0,0
40.455,0,0
40.46,0,0
40.465,0,0
40.47,0,0
40.475,0,0
40.48,0,0
40.485,0,0
40.49,0,0
40.495,0,0
40.5,0,0
40.505,0,0
40.51,0,0
40.515,0,0
40.52,0,0
40.525,0,0
40.53,0,0
40.535,0,0
40.54,0,0
40.545,0,0
40.55,0,0
40.555,0,0
40.56,0,0
40.565,0,0
40.57,0,0
40.575,0,0
40.58,0,0
40.585,0,0
40.59,0,0
40.595,0,0
40.6,0,0
40.605,0,0
40.61,0,0
40.615,0,0
40.62,0,0
40.625,0,0
40.63,0,0
40.635,0,0
40.64,0,0
40.645,0,0
40.65,0,0
40.655,0,0
40.66,0,0
40.665,0,0
40.67,0,0
40.675,0,0
40.68,0,0
40.685,0,0
40.69,0,0
40.695,0,0
40.7,0,0
40.705,0,0
40.71,0,0
40.715,0,0
40.72,0,0
40.725,0,0
40.73,0,0
40.735,0,0
40.74,0,0
40.745,0,0
40.75,0,0
40.755,0,0
40.76,0,0
40.765,0,0
40.77,0,0
40.775,0,0
40.78,0,0
40.785,0,0
40.79,0,0
40.795,0,0
40.8,0,0
40.805,0,0
40.81,0,0
40.815,0,0
40.82,0,0
40.825,0,0
40.83,0,0
40.835,0,0
40.84,0,0
40.845,0,0
40.85,0,0
40.855,0,0
40.86,0,0
40.865,0,0
40.87,0,0
40.875,0,0
40.88,0,0
40.885,0,0
40.89,0,0
40.895,0,0
40.9,0,0
40.905,0,0
40.91,0,0
40.915,0,0
40.92,0,0
40.925,0,0
40.93,0,0
40.935,0,0
40.94,0,0
40.945,0,0
40.95,0,0
40.955,0,0
40.96,0,0
40.965,0,0
40.97,0,0
40.975,0,0
40.98,0,0
40.985,0,0
40.99,0,0
40.995,0,0
41,0,0
41.005,0,0
41.01,0,0
41.015,0,0
41.02,0,0
41.025,0,0
41.03,0,0
41.035,0,0
41.04,0,0
41.045,0,0
41.05,0,0
41.055,0,0
41.06,0,0
41.065,0,0
41.07,0,0
41.075,0,0
41.08,0,0
41.085,0,0
41.09,0,0
41.095,0,0
41.1,0,0
41.105,0,0
41.11,0,0
41.115,0,0
41.12,0,0
41.125,0,0
41.13,0,0
41.135,0,0
41.14,0,0
41.145,0,0
41.15,0,0
41.155,0,0
41.16,0,0
41.165,0,0
41.17,0,0
41.175,0,0
41.18,0,0
41.185,0,0
41.19,0,0
41.195,0,0
41.2,0,0
41.205,0,0
41.21,0,0
41.215,0,0
41.22,0,0
41.225,0,0
41.23,0,0
41.235,0,0
41.24,0,0
41.245,0,0
41.25,0,0
41.255,0,0
41.26,0,0
41.265,0,0
41.27,0,0
41.275,0,0
41.28,0,0
41.285,0,0
41.29,0,0
41.295,0,0
41.3,0,0
41.305,0,0
41.31,0,0
41.315,0,0
41.32,0,0
41.325,0,0
41.33,0,0
41.335,0,0
41.34,0,0
41.345,0,0
41.35,0,0
41.355,0,0
41.36,0,0
41.365,0,0
41.37,0,0
41.375,0,0
41.38,0,0
41.385,0,0
41.39,0,0
41.395,0,0
41.4,0,0
41.405,0,0
41.41,0,0
41.415,0,0
41.42,0,0
41.425,0,0
41.43,0,0
41.435,0,0
41.44,0,0
41.445,0,0
41.45,0,0
41.455,0,0
41.46,0,0
41.465,0,0
41.47,0,0
41.475,0,0
41.48,0,0
41.485,0,0
41.49,0,0
41.495,0,0
41.5,0,0
41.505,0,0
41.51,0,0
41.515,0,0
41.52,0,0
41.525,0,0
41.53,0,0
41.535,0,0
41.54,0,0
41.545,0,0
41.55,0,0
41.555,0,0
41.56,0,0
41.565,0,0
41.57,0,0
41.575,0,0
41.58,0,0
41.585,0,0
41.59,0,0
41.595,0,0
41.6,0,0
41.605,0,0
41.61,0,0
41.615,0,0
41.62,0,0
41.625,0,0
41.63,0,0
41.635,0,0
41.64,0,0
41.645,0,0
41.65,0,0
41.655,0,0
41.66,0,0
41.665,0,0
41.67,0,0
41.675,0,0
41.68,0,0
41.685,0,0
41.69,0,0
41.695,0,0
41.7,0,0
41.705,0,0
41.71,0,0
41.715,0,0
41.72,0,0
41.725,0,0
41.73,0,0
41.735,0,0
41.74,0,0
41.745,0,0
41.75,0,0
41.755,0,0
41.76,0,0
41.765,0,0
41.77,0,0
41.775,0,0
41.78,0,0
41.785,0,0
41.79,0,0
41.795,0,0
41.8,0,0
41.805,0,0
41.81,0,0
41.815,0,0
41.82,0,0
41.825,0,0
41.83,0,0
41.835,0,0
41.84,0,0
41.845,0,0
41.85,0,0
41.855,0,0
41.86,0,0
41.865,0,0
41.87,0,0
41.875,0,0
41.88,0,0
41.885,0,0
41.89,0,0
41.895,0,0
41.9,0,0
41.905,0,0
41.91,0,0
41.915,0,0
41.92,0,0
41.925,0,0
41.93,0,0
41.935,0,0
41.94,0,0
41.945,0,0
41.95,0,0
41.955,0,0
41.96,0,0
41.965,0,0
41.97,0,0
41.975,0,0
41.98,0,0
41.985,0,0
41.99,0,0
41.995,0,0
42,0,0
42.005,0,0
42.01,0,0
42.015,0,0
42.02,0,0
42.025,0,0
42.03,0,0
42.035,0,0
42.04,0,0
42.045,0,0
42.05,0,0
42.055,0,0
42.06,0,0
42.065,0,0
42.07,0,0
42.075,0,0
42.08,0,0
42.085,0,0
42.09,0,0
42.095,0,0
42.1,0,0
42.105,0,0
42.11,0,0
42.115,0,0
42.12,0,0
42.125,0,0
42.13,0,0
42.135,0,0
42.14,0,0
42.145,0,0
42.15,0,0
42.155,0,0
42.16,0,0
42.165,0,0
42.17,0,0
42.175,0,0
42.18,0,0
42.185,0,0
42.19,0,0
42.195,0,0
42.2,0,0
42.205,0,0
42.21,0,0
42.215,0,0
42.22,0,0
42.225,0,0
42.23,0,0
42.235,0,0
42.24,0,0
42.245,0,0
42.25,0,0
42.255,0,0
42.26,0,0
42.265,0,0
42.27,0,0
42.275,0,0
42.28,0,0
42.285,0,0
42.29,0,0
42.295,0,0
42.3,0,0
42.305,0,0
42.31,0,0
42.315,0,0
42.32,0,0
42.325,0,0
42.33,0,0
42.335,0,0
42.34,0,0
42.345,0,0
42.35,0,0
42.355,0,0
42.36,0,0
42.365,0,0
42.37,0,0
42.375,0,0
42.38,0,0
42.385,0,0
42.39,0,0
42.395,0,0
42.4,0,0
42.405,0,0
