LIGGGHTS (Version LIGGGHTS-PUBLIC 3.8.0, compiled 2026-06-22-10:49:37 by kortiz, git commit 3d5c00f20519e6bb6eb6756f51f1ad36564e649d)
Created orthogonal box = (-0.02 -0.02 -0.02) to (0.43 0.06 0.07)
  16 by 2 by 2 MPI processor grid

Reading STL file 'case_remesh.stl' (mesh processing step 1/3) 

Reading STL file 'screw_simplified.stl' (mesh processing step 1/3) 
   successfully read a chunk of 100000 elements in STL file 'screw_simplified.stl'
   successfully read a chunk of 100000 elements in STL file 'screw_simplified.stl'

Reading STL file 'feed.stl' (mesh processing step 1/3) 

Reading STL file 'salida_centered.stl' (mesh processing step 1/3) 
Fix particledistribution/discrete (id pdd1): distribution based on mass%:
    pts1: d=3.000000e-04 (max. bounding sphere) mass%=39.450000%
    pts2: d=3.000000e-04 (max. bounding sphere) mass%=40.590000%
    pts3: d=3.000000e-04 (max. bounding sphere) mass%=19.960000%
Fix particledistribution/discrete (id pdd1): distribution based on number%:
    pts1: d=3.000000e-04 (max. bounding sphere) number%=39.450000%
    pts2: d=3.000000e-04 (max. bounding sphere) number%=40.590000%
    pts3: d=3.000000e-04 (max. bounding sphere) number%=19.960000%

Reading STL file 'feed.stl' (mesh processing step 1/3) 
**FixMassflowMesh: > 1 process -  will write to multiple files
**FixMassflowMesh: > 1 process -  will write to multiple files
Setting up run at Tue Jun 23 08:09:58 2026

Mesh case: 3 elements have high aspect ratio (soft limit: smallest angle > 0.500000 ° required)
WARNING: Fix mesh: Mesh contains highly skewed element, moving mesh (if used) will not parallelize well (../surface_mesh_I.h:657)
Import and parallelization of mesh case containing 4995 triangle(s) successful
Mesh screw: 2 elements have high aspect ratio (soft limit: smallest angle > 0.500000 ° required)
WARNING: Fix mesh: Mesh contains highly skewed element, moving mesh (if used) will not parallelize well (../surface_mesh_I.h:657)
Import and parallelization of mesh screw containing 30806 triangle(s) successful
Import and parallelization of mesh feed containing 64 triangle(s) successful
Import and parallelization of mesh outlet containing 64 triangle(s) successful
Import and parallelization of mesh ins_mesh containing 64 triangle(s) successful
INFO: Particle insertion ins: 75.156501 particles every 500000 steps - particle rate 150.313002  (mass rate 5.950000e-07)
      901 particles (mass 3.566524e-06) within 5500000 steps
Memory usage per processor = 20.0881 Mbytes
    Step    Atoms         KinEng            CPU 
       0        0              0              0 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 1
 - a total of 75 particle templates (mass 2.968805e-07) inserted so far.
   10000       75  1.3359623e-10      6.5819905 
   20000       75  1.6846881e-10      12.863679 
   30000       75  3.2806935e-10      19.252542 
   40000       75  3.7867597e-10      25.751959 
   50000       75  4.3243553e-10       32.22352 
   60000       75  5.2526154e-10      38.802579 
   70000       75  5.3122386e-10      45.377875 
   80000       75  5.9956066e-10      51.938488 
   90000       75  4.8126053e-10      58.480903 
  100000       75   6.295782e-10      65.008832 
  110000       75  6.1314101e-10      71.588059 
  120000       75  5.7724126e-10      78.150287 
  130000       75  1.0664749e-08      84.681497 
  140000       75  5.3753039e-10      91.231774 
  150000       75  4.8306752e-10      97.690065 
  160000       75  3.5155191e-10      104.21786 
  170000       75  2.1009381e-10      110.69413 
  180000       75  2.7710575e-10      117.10192 
  190000       75  2.8499546e-10      123.60403 
  200000       75  5.0541669e-10      130.43747 
  210000       75   4.909745e-10      137.46923 
  220000       75    6.93746e-09      144.43334 
  230000       75  3.9565419e-10      151.03812 
  240000       75  3.1765604e-10      158.34499 
  250000       75   3.818617e-10      164.91747 
  260000       75  4.5242609e-10      171.51613 
  270000       75  3.4098886e-10      178.07479 
  280000       75  5.7795267e-10      184.66634 
  290000       75  4.7358255e-10      191.27352 
  300000       75  3.4814781e-10      197.94749 
  310000       75  2.1609874e-10      204.64886 
  320000       75  4.8426234e-10      211.26532 
  330000       75  5.0789906e-10      217.98839 
  340000       75  3.3457823e-10       224.6713 
  350000       75  2.9754585e-08      232.16456 
  360000       75  2.8634174e-08      243.70144 
  370000       74  7.6549696e-10      252.51816 
  380000       74  6.1856759e-10       259.2888 
  390000       74  5.2375925e-10      266.16106 
  400000       74  3.4604242e-10      273.80468 
  410000       74  3.5905199e-10      280.49636 
  420000       74  3.7928949e-10      287.12554 
  430000       74  7.7828405e-10      293.80831 
  440000       74  6.8113186e-10      300.53059 
  450000       74  1.4099269e-09      307.37192 
  460000       74  1.2586978e-09      314.31444 
  470000       74  8.2307169e-10      321.15879 
  480000       74  7.0507805e-10      327.93528 
  490000       74  5.3441383e-10      335.49577 
  500000       74  6.3377591e-10      342.27224 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 500001
 - a total of 150 particle templates (mass 5.937610e-07) inserted so far.
  510000      149  4.5215926e-10      349.09838 
  520000      149  5.3329905e-09      357.01003 
  530000      149  4.7116902e-09      365.30039 
  540000      149  3.3596155e-09      373.49305 
  550000      149  3.4492281e-09      381.55302 
  560000      149  2.6171158e-09      389.48617 
  570000      148  1.0273705e-09      397.36814 
  580000      148  1.0223235e-09       404.7183 
  590000      148   9.946238e-10      411.68371 
  600000      148   9.733633e-10       418.9591 
  610000      148  9.2851523e-10      425.90479 
  620000      148  1.0572011e-09      432.99692 
  630000      148  8.3367197e-10      439.85297 
  640000      148  6.9900486e-10      446.68685 
  650000      148  7.5472855e-10      453.50983 
  660000      148  6.5148384e-10      460.40803 
  670000      148  7.2913582e-10      467.35135 
  680000      148  1.1565574e-09      474.41496 
  690000      148  7.1048756e-10      481.41642 
  700000      148  8.2993028e-10      488.28223 
  710000      148  1.3220662e-09      495.23139 
  720000      148  1.2831281e-09      502.61673 
  730000      148  8.9859025e-10      509.73763 
  740000      148  8.9241964e-10      517.50221 
  750000      148  2.7087935e-09      525.15052 
  760000      148  1.2816093e-09      533.17026 
  770000      148  1.1001189e-09      540.39917 
  780000      148  1.0349704e-09      547.59949 
  790000      148  9.9239522e-10       554.7102 
  800000      148  9.3077641e-10      561.98881 
  810000      148  8.1070217e-10       569.0685 
  820000      148  7.8854412e-10      576.17441 
  830000      148  7.2864097e-10      583.29647 
  840000      148  9.3554619e-10      590.47624 
  850000      148    9.61069e-10      597.70791 
  860000      148  9.9614231e-10      605.10594 
  870000      148  4.2055118e-09      612.38544 
  880000      148  6.0239823e-10       619.5319 
  890000      148  5.9303681e-10      626.74661 
  900000      148  6.7672463e-10      633.97792 
  910000      148  5.5838486e-10      641.22565 
  920000      148  6.8669997e-10      648.53857 
  930000      148  1.0972273e-09      656.82209 
  940000      148  1.2005321e-09      664.40462 
  950000      148  1.4440746e-09      672.17182 
  960000      148   2.913252e-09       680.0755 
  970000      148  1.8848664e-09      688.15422 
  980000      147  4.2895874e-10      696.45264 
  990000      147  5.8480893e-10      703.75299 
 1000000      147   4.091274e-10      711.21636 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 1000001
 - a total of 225 particle templates (mass 8.906415e-07) inserted so far.
 1010000      222  5.7793137e-10      718.59116 
 1020000      222  7.3992009e-10      726.00335 
 1030000      222  8.4927143e-10      733.43956 
 1040000      222  3.9194865e-10      740.87134 
 1050000      222  5.9431495e-10      748.24373 
 1060000      222  7.9972585e-10      755.65654 
 1070000      222  9.2998281e-10      763.10975 
 1080000      222  8.1577722e-10      770.53016 
 1090000      222   8.804735e-10      777.96084 
 1100000      222  6.1408516e-10      786.25741 
 1110000      222  7.6206652e-10       793.6558 
 1120000      222  1.5045069e-09      801.48317 
 1130000      222   8.360443e-10      809.01956 
 1140000      222  1.2326975e-09        816.422 
 1150000      222  1.4256659e-09      823.90663 
 1160000      222  1.8970623e-09      831.52656 
 1170000      222  8.4233835e-10      839.22723 
 1180000      222   7.693399e-10      846.79384 
 1190000      222  6.0364289e-10      854.32929 
 1200000      222  7.9565693e-10      861.98904 
 1210000      222  6.3014286e-10      869.49782 
 1220000      222  9.2791475e-10      877.79263 
 1230000      222  7.0298232e-10      885.34592 
 1240000      222  4.5555989e-10      892.93519 
 1250000      222  5.1424934e-10      900.53058 
 1260000      222  6.8013587e-10      908.14661 
 1270000      222  6.3181692e-10      916.11493 
 1280000      222  5.2182183e-10      924.24381 
 1290000      222  1.7859422e-09      931.90488 
 1300000      222    7.01046e-10      939.53715 
 1310000      222  7.6041842e-10      947.22327 
 1320000      222  8.3539859e-10      955.08276 
 1330000      222  6.5172673e-10       962.8041 
 1340000      222  5.0331181e-09      971.85962 
 1350000      222  4.5071945e-09      981.29626 
 1360000      222  4.0792873e-09      990.60411 
 1370000      222  3.5083857e-09       999.8154 
 1380000      221   4.677372e-10      1008.4714 
 1390000      221  2.5613576e-10      1016.2777 
 1400000      221  3.0280297e-10      1024.1276 
 1410000      221  3.4415498e-10      1032.0353 
 1420000      221  5.2986249e-10       1040.303 
 1430000      221  5.6868414e-10      1048.4836 
 1440000      221  4.6631664e-10       1057.545 
 1450000      221  2.9811737e-10      1065.9156 
 1460000      221  5.3736789e-10      1073.7431 
 1470000      221  4.0616053e-10      1081.6089 
 1480000      221  5.1243284e-10      1089.5138 
 1490000      221  4.8462933e-10      1097.3637 
 1500000      221  1.6529016e-09        1105.33 
